(E: 0,C: 58) Reloj 2.61893 | Clientes en cola: 2
(E: 0,C: 59) Reloj 8.76056 | Clientes en cola: 1
(E: 0,C: 59) Reloj 13.90690 | Clientes en cola: 2
(E: 0,C: 60) Reloj 22.78843 | Clientes en cola: 1
(E: 0,C: 61) Reloj 20.57671 | Clientes en cola: 1
(E: 0,C: 62) Reloj 101.10183 | Clientes en cola: 1
(E: 0,C: 63) Reloj 81.18216 | Clientes en cola: 1
(E: 0,C: 64) Reloj 37.97366 | Clientes en cola: 1
(E: 0,C: 65) Reloj 46.05406 | Clientes en cola: 1
(E: 0,C: 66) Reloj 18.49573 | Clientes en cola: 1
(E: 0,C: 67) Reloj 3.15011 | Clientes en cola: 1
(E: 0,C: 67) Reloj 17.51445 | Clientes en cola: 3
(E: 0,C: 68) Reloj 22.60820 | Clientes en cola: 1
(E: 0,C: 69) Reloj 1.33310 | Clientes en cola: 1
(E: 0,C: 69) Reloj 3.53991 | Clientes en cola: 2
(E: 0,C: 69) Reloj 9.78242 | Clientes en cola: 6
(E: 0,C: 70) Reloj 11.60813 | Clientes en cola: 1
(E: 0,C: 70) Reloj 21.43685 | Clientes en cola: 2
(E: 0,C: 71) Reloj 24.96607 | Clientes en cola: 1
(E: 0,C: 72) Reloj 10.96341 | Clientes en cola: 1
(E: 0,C: 73) Reloj 3.91938 | Clientes en cola: 1
(E: 0,C: 73) Reloj 10.16387 | Clientes en cola: 2
(E: 0,C: 73) Reloj 14.78768 | Clientes en cola: 6
(E: 0,C: 74) Reloj 0.01338 | Clientes en cola: 1
(E: 0,C: 74) Reloj 1.43034 | Clientes en cola: 2
(E: 0,C: 74) Reloj 14.96466 | Clientes en cola: 6
(E: 0,C: 75) Reloj 7.01885 | Clientes en cola: 1
(E: 0,C: 76) Reloj 31.99653 | Clientes en cola: 1
(E: 0,C: 77) Reloj 15.96276 | Clientes en cola: 1
(E: 0,C: 78) Reloj 0.83314 | Clientes en cola: 1
(E: 0,C: 78) Reloj 2.25820 | Clientes en cola: 2
(E: 0,C: 78) Reloj 13.83292 | Clientes en cola: 4
(E: 0,C: 79) Reloj 7.19530 | Clientes en cola: 1
(E: 0,C: 79) Reloj 8.08005 | Clientes en cola: 2
(E: 0,C: 80) Reloj 7.45295 | Clientes en cola: 1
(E: 0,C: 80) Reloj 8.19216 | Clientes en cola: 2
(E: 0,C: 81) Reloj 51.48641 | Clientes en cola: 1
(E: 0,C: 82) Reloj 4.90133 | Clientes en cola: 1
(E: 0,C: 82) Reloj 9.84450 | Clientes en cola: 2
(E: 0,C: 82) Reloj 11.46447 | Clientes en cola: 4
(E: 0,C: 82) Reloj 13.91973 | Clientes en cola: 6
(E: 0,C: 83) Reloj 17.61319 | Clientes en cola: 1
(E: 0,C: 84) Reloj 43.82250 | Clientes en cola: 1
(E: 0,C: 85) Reloj 18.87653 | Clientes en cola: 1
(E: 0,C: 86) Reloj 54.97275 | Clientes en cola: 1
(E: 0,C: 87) Reloj 7.51929 | Clientes en cola: 1
(E: 0,C: 87) Reloj 17.58586 | Clientes en cola: 2
