(E: 0,C: 57) Reloj 15.13294 | Clientes en cola: 4
(E: 0,C: 58) Reloj 5.26150 | Clientes en cola: 1
(E: 0,C: 58) Reloj 18.34451 | Clientes en cola: 2
(E: 0,C: 59) Reloj 88.36222 | Clientes en cola: 1
(E: 0,C: 60) Reloj 19.22730 | Clientes en cola: 1
(E: 0,C: 61) Reloj 2.23585 | Clientes en cola: 1
(E: 0,C: 62) Reloj 26.96769 | Clientes en cola: 1
(E: 0,C: 63) Reloj 7.92202 | Clientes en cola: 1
(E: 0,C: 63) Reloj 12.19627 | Clientes en cola: 2
(E: 0,C: 64) Reloj 55.09375 | Clientes en cola: 1
(E: 0,C: 65) Reloj 3.99309 | Clientes en cola: 1
(E: 0,C: 65) Reloj 14.13403 | Clientes en cola: 2
(E: 0,C: 66) Reloj 5.70427 | Clientes en cola: 1
(E: 0,C: 66) Reloj 5.98698 | Clientes en cola: 2
(E: 0,C: 66) Reloj 9.86267 | Clientes en cola: 7
(E: 0,C: 66) Reloj 13.73837 | Clientes en cola: 11
(E: 0,C: 67) Reloj 41.57085 | Clientes en cola: 1
(E: 0,C: 68) Reloj 5.02734 | Clientes en cola: 1
(E: 0,C: 68) Reloj 6.35730 | Clientes en cola: 2
(E: 0,C: 69) Reloj 32.44309 | Clientes en cola: 1
(E: 0,C: 70) Reloj 11.66908 | Clientes en cola: 1
(E: 0,C: 70) Reloj 18.13776 | Clientes en cola: 2
(E: 0,C: 71) Reloj 54.99879 | Clientes en cola: 1
(E: 0,C: 72) Reloj 94.22639 | Clientes en cola: 1
(E: 0,C: 73) Reloj 11.69806 | Clientes en cola: 1
(E: 0,C: 73) Reloj 24.22550 | Clientes en cola: 2
(E: 0,C: 74) Reloj 9.47447 | Clientes en cola: 1
(E: 0,C: 74) Reloj 13.65761 | Clientes en cola: 2
(E: 0,C: 75) Reloj 21.87722 | Clientes en cola: 1
(E: 0,C: 76) Reloj 12.31015 | Clientes en cola: 1
(E: 0,C: 76) Reloj 19.70815 | Clientes en cola: 2
(E: 0,C: 77) Reloj 59.70606 | Clientes en cola: 1
(E: 0,C: 78) Reloj 0.78707 | Clientes en cola: 1
(E: 0,C: 78) Reloj 22.04015 | Clientes en cola: 3
(E: 0,C: 79) Reloj 5.67718 | Clientes en cola: 1
(E: 0,C: 79) Reloj 9.39388 | Clientes en cola: 2
(E: 0,C: 80) Reloj 2.49545 | Clientes en cola: 1
(E: 0,C: 80) Reloj 13.40875 | Clientes en cola: 2
(E: 0,C: 81) Reloj 4.67988 | Clientes en cola: 1
(E: 0,C: 81) Reloj 17.10762 | Clientes en cola: 2
(E: 0,C: 82) Reloj 11.72612 | Clientes en cola: 1
(E: 0,C: 83) Reloj 46.70262 | Clientes en cola: 1
(E: 0,C: 84) Reloj 17.34723 | Clientes en cola: 1
(E: 0,C: 85) Reloj 33.11924 | Clientes en cola: 1
(E: 0,C: 86) Reloj 20.02952 | Clientes en cola: 1
(E: 0,C: 87) Reloj 0.67565 | Clientes en cola: 1
(E: 0,C: 87) Reloj 9.66041 | Clientes en cola: 2
(E: 0,C: 88) Reloj 3.46070 | Clientes en cola: 1
(E: 0,C: 88) Reloj 7.66106 | Clientes en cola: 2
